"","x.1","x.2","y"
"1",-0.394370696646584,1.36127289824647,1
"2",0.133330974369787,-0.727627162118457,1
"3",0.258931986372725,-0.971018044810209,1
"4",-1.14710998189035,-1.38628866836557,1
"5",0.215614743116042,-0.985798020970965,1
"7",-0.112308588041047,-0.136727950467407,1
"8",-0.53875420130048,2.57901976576488,1
"9",-1.04071626899303,0.932359451733113,1
"10",-0.471512225979574,1.01890616260453,1
"11",-0.230184914768668,-0.0846098013380948,1
"12",0.679126359373847,-1.54632585317131,1
"13",-0.0870840825493949,-0.580710999447219,1
"14",-1.80879110295254,0.165018395318549,1
"15",0.0564402665334662,1.01879906817943,1
"16",1.92402294908756,0.516274591399167,1
"17",-0.159367583217051,-0.611982173737875,1
"18",-1.11555741615281,-0.33369834612929,1
"20",0.108661660533871,-1.67320776032541,1
"21",1.41294571009698,0.565316424407474,1
"22",0.787983440137412,-0.119407981775303,1
"23",0.646753628884912,0.31890991832086,1
"24",-0.219717445672795,-0.374837810254846,1
"25",-0.473514536544726,-0.472676231411754,1
"26",-0.928509173397643,-0.275202837403075,1
"27",-0.064264070447547,-0.562954358604974,1
"28",0.223610636398832,-0.234945293236339,1
"29",-0.41885287421732,0.234614312593542,1
"30",0.128717699615499,-0.011505606842325,1
"31",-1.51361519457028,-1.18959918291501,1
"33",-0.148774473458025,-0.471355994870369,1
"34",-1.92380495102334,0.245504696764681,1
"36",-0.125632311715077,0.182222969719063,1
"38",-0.708481751631266,-0.560097884570119,1
"39",-1.50384867690767,-0.574631405232233,1
"40",0.877726670452088,-0.309228323412349,1
"41",0.0692898722100017,1.44069779915994,1
"42",-1.04992077333706,-0.460121395040577,1
"43",1.8439600989703,1.20443664168387,1
"44",-1.2149661240312,-0.792757245989356,1
"45",-1.41488110968424,0.74515612164944,1
"47",0.294685254093179,-1.11800112686965,1
"48",0.644313179369231,-0.292799487795679,1
"49",0.419651185166024,-0.272523185652858,1
"50",-0.384464414114558,-1.83532565809777,1
"51",1.00770188107181,-0.285969614828178,1
"52",1.10725180394901,-0.808968503872949,1
"55",-0.245002611034241,-2.21555206370419,1
"57",-0.637271144060298,-0.445794976689461,1
"58",-1.93534712169974,-1.45797699884251,1
"59",-1.31278006046587,0.928853141065122,1
"60",0.924607249709582,0.940181373974643,1
"61",-2.14848743167615,-1.67596645795121,1
"62",0.4993909217191,-1.27314057412652,1
"63",1.64066734037823,1.4685091755606,1
"64",2.02766661620453,1.51130774986868,1
"65",-0.281282984146176,-0.250944356929914,1
"66",-0.340047855432208,-0.567858400405008,1
"68",1.13090957380721,-0.00739803780192108,1
"69",-0.738974085287099,-0.383154444338731,1
"70",0.0744077833027815,1.94240006503513,1
"71",-0.823081398976948,0.498902416889896,1
"72",1.11900139103213,-0.67320758216427,1
"73",-0.958933922871466,-1.07706413301597,1
"74",-2.25178956214169,0.894683752769018,1
"75",1.85927515556464,0.433359893657398,1
"76",-0.173986094058003,0.20107917971844,1
"77",-1.3396127808002,0.710065997113785,1
"78",-1.53946206915697,-0.209029417245761,1
"79",-0.705131933486868,1.03161763958201,1
"80",-1.81708632038388,-0.942312946767575,1
"83",0.54350554230516,1.40778323654007,1
"84",-1.1610427672244,2.72064275723779,1
"85",-1.90023229449059,0.598919881286583,1
"86",-2.01244829747447,0.618923465848217,1
"87",0.928760566231212,-0.659145554509799,1
"88",0.0116878270163981,-0.232169208960114,1
"90",1.94075149169641,0.160843523412717,1
"91",-0.843788319397864,-1.45361439861156,1
"95",0.0418571684232437,-0.406112116313935,1
"96",0.941440650076623,-0.304019319125624,1
"97",1.0058625435248,-0.130126426035035,1
"98",-1.91347790025764,0.891250811050843,1
"99",-1.16859914352491,-0.0995971370286872,1
"100",-0.52162539279739,0.025136296141348,1
"101",5.05861717809052,5.11509008364895,1
"102",2.9058617114484,4.16312332850211,1
"103",3.44099781974328,4.0787963334178,1
